Date,Departure Airport,Departure Airport Rating (out of 10),Departure Airport On Time Rating (out of 10),Departure Airport Service Rating (out of 10),Arrival Airport,Arrival Airport Rating (out of 10),Arrival Airport On Time Rating (out of 10),Arrival Airport Service Rating (out of 10),Airplane Type,Expected Departure Time,Departure Time,Departure Delay,Duration,Expected Arrival Time,Arrival Time,Arrival Time Delay,Carrier,Carrier Rating (out of 10),Carrier Market Share (out of 100),Carrier Load Factor (out of 100),Carrier On Time Performance Rating (out of 100),totalSnow_cm,DewPointC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
28-01-2018,BLR,,,,DEL,7.99,7.3,9.1,,06:10,06:10,00:00:00,02:20,08:55,08:30,-0:25:00,Air India,6.6,12,80.75,70.3,0,10,22,4,54,0,1014,19,10,90,14
28-01-2018,DEL,7.99,7.3,9.1,HYD,8.27,7.8,9,A320,07:20,07:54,00:34:00,01:42,09:30,09:36,00:06:00,Vistara,9.2,3.6,81.8,89,0,7,4,0,47,0,1015,13,10,283,3
28-01-2018,CCU,,,,DEL,7.99,7.3,9.1,A320,07:10,07:19,00:09:00,02:11,09:25,09:30,00:05:00,Vistara,9.2,3.6,81.8,89,,,,,,,,,,,
28-01-2018,BLR,,,,DEL,7.99,7.3,9.1,A320,07:00,06:59,-0:01:00,02:22,09:40,09:20,-0:20:00,Vistara,9.2,3.6,81.8,89,0,10,22,4,54,0,1014,19,10,90,14
28-01-2018,CCU,,,,DEL,7.99,7.3,9.1,B737,07:40,08:04,00:24:00,02:18,10:15,10:23,00:08:00,Spicejet,6.8,13.1,93.9,74.7,,,,,,,,,,,
28-01-2018,BLR,,,,BOM,7.29,6.2,9,A320,05:05,05:10,00:05:00,01:21,06:50,06:31,-0:19:00,Indigo,7.9,39.7,90.9,87.4,0,10,22,4,54,0,1014,19,10,90,14
28-01-2018,DEL,7.99,7.3,9.1,HYD,8.27,7.8,9,A320,04:55,05:21,00:26:00,01:48,07:05,07:09,00:04:00,Indigo,7.9,39.7,90.9,87.4,0,7,4,0,47,0,1015,13,10,283,3
28-01-2018,BLR,,,,DEL,7.99,7.3,9.1,B738,05:45,05:51,00:06:00,02:19,08:35,08:11,-0:24:00,Spicejet,6.8,13.1,93.9,74.7,0,10,22,4,54,0,1014,19,10,90,14
28-01-2018,BLR,,,,BOM,7.29,6.2,9,A320,05:45,05:50,00:05:00,01:24,07:15,07:14,-0:01:00,Go Air,7.2,8.8,93.3,91.8,0,10,22,4,54,0,1014,19,10,90,14
28-01-2018,DEL,7.99,7.3,9.1,HYD,8.27,7.8,9,A20N,05:40,05:56,00:16:00,01:48,07:50,07:44,-0:06:00,Go Air,7.2,8.8,93.3,91.8,0,7,4,0,47,0,1015,13,10,283,3
28-01-2018,BLR,,,,BOM,7.29,6.2,9,,06:45,07:00,00:15:00,01:14,08:25,08:14,-0:11:00,Air India,6.6,12,80.75,70.3,0,10,22,4,54,0,1014,19,10,90,14
28-01-2018,BOM,7.29,6.2,9,DEL,7.99,7.3,9.1,,07:00,07:07,00:07:00,01:40,09:05,08:47,-0:18:00,Air India,6.6,12,80.75,70.3,,,,,,,,,,,
28-01-2018,DEL,7.99,7.3,9.1,HYD,8.27,7.8,9,,07:05,07:33,00:28:00,01:46,09:10,09:19,00:09:00,Air India,6.6,12,80.75,70.3,0,7,4,0,47,0,1015,13,10,283,3
28-01-2018,CCU,,,,DEL,7.99,7.3,9.1,,07:00,07:01,00:01:00,02:09,09:10,09:10,00:00:00,Air India,6.6,12,80.75,70.3,,,,,,,,,,,
28-01-2018,CCU,,,,DEL,7.99,7.3,9.1,A320,06:05,06:02,-0:03:00,02:05,08:35,08:07,-0:28:00,Indigo,7.9,39.7,90.9,87.4,,,,,,,,,,,
29-01-2018,DEL,7.99,7.3,9.1,HYD,8.27,7.8,9,A320,04:55,05:00,00:05:00,01:54,07:05,06:54,-0:11:00,Indigo,7.9,39.7,90.9,87.4,0,6,9,0,36,0,1018,17,10,287,8
29-01-2018,DEL,7.99,7.3,9.1,HYD,8.27,7.8,9,A320,07:20,10:18,02:58:00,01:51,09:30,12:09,02:39:00,Vistara,9.2,3.6,81.8,89,0,6,9,0,36,0,1018,17,10,287,8
29-01-2018,CCU,,,,DEL,7.99,7.3,9.1,A320,07:10,07:11,00:01:00,02:13,09:25,09:24,-0:01:00,Vistara,9.2,3.6,81.8,89,,,,,,,,,,,
29-01-2018,BLR,,,,DEL,7.99,7.3,9.1,A320,07:00,07:03,00:03:00,02:27,09:40,09:30,-0:10:00,Vistara,9.2,3.6,81.8,89,0,8,18,2,50,0,1014,17,10,72,11
29-01-2018,CCU,,,,DEL,7.99,7.3,9.1,B737,07:40,09:05,01:25:00,02:09,10:15,11:14,00:59:00,Spicejet,6.8,13.1,93.9,74.7,,,,,,,,,,,
29-01-2018,BLR,,,,BOM,7.29,6.2,9,A320,05:05,05:08,00:03:00,01:23,06:50,06:31,-0:19:00,Indigo,7.9,39.7,90.9,87.4,0,8,18,2,50,0,1014,17,10,72,11
29-01-2018,CCU,,,,DEL,7.99,7.3,9.1,A20N,06:05,06:05,00:00:00,02:14,08:35,08:20,-0:15:00,Indigo,7.9,39.7,90.9,87.4,,,,,,,,,,,
29-01-2018,BLR,,,,DEL,7.99,7.3,9.1,B738,05:45,05:59,00:14:00,03:39,08:35,09:39,01:04:00,Spicejet,6.8,13.1,93.9,74.7,0,8,18,2,50,0,1014,17,10,72,11
29-01-2018,DEL,7.99,7.3,9.1,HYD,8.27,7.8,9,A20N,05:40,05:46,00:06:00,01:55,07:50,07:41,-0:09:00,Go Air,7.2,8.8,93.3,91.8,0,6,9,0,36,0,1018,17,10,287,8
